,ethoscope_id,ethoscope_name,experiment_date,experiment_time,db_filename,filesize
20,0001eeee10184bb39b0754e75cef7900,ETHOSCOPE_BENCH,2016-02-01,18-47-45,0001eeee10184bb39b0754e75cef7900/ETHOSCOPE_BENCH/2016-02-01_18-47-45/2016-02-01_18-47-45_0001eeee10184bb39b0754e75cef7900.db,41085952
21,0001eeee10184bb39b0754e75cef7900,ETHOSCOPE_BENCH,2016-03-29,16-14-49,0001eeee10184bb39b0754e75cef7900/ETHOSCOPE_BENCH/2016-03-29_16-14-49/2016-03-29_16-14-49_0001eeee10184bb39b0754e75cef7900.db,0
22,0001eeee10184bb39b0754e75cef7900,ETHOSCOPE_BENCH,2016-04-07,18-02-55,0001eeee10184bb39b0754e75cef7900/ETHOSCOPE_BENCH/2016-04-07_18-02-55/2016-04-07_18-02-55_0001eeee10184bb39b0754e75cef7900.db,114688
23,0001eeee10184bb39b0754e75cef7900,ETHOSCOPE_BENCH,2016-04-07,18-18-39,0001eeee10184bb39b0754e75cef7900/ETHOSCOPE_BENCH/2016-04-07_18-18-39/2016-04-07_18-18-39_0001eeee10184bb39b0754e75cef7900.db,1974272
24,0005f96624a048089bdfb5f3941b6766,ETHOSCOPE_000,2019-07-03,12-17-56,0005f96624a048089bdfb5f3941b6766/ETHOSCOPE_000/2019-07-03_12-17-56/2019-07-03_12-17-56_0005f96624a048089bdfb5f3941b6766.db,3571712
25,0005f96624a048089bdfb5f3941b6766,ETHOSCOPE_000,2019-07-03,13-17-56,0005f96624a048089bdfb5f3941b6766/ETHOSCOPE_000/2019-07-03_13-17-56/2019-07-03_13-17-56_0005f96624a048089bdfb5f3941b6766.db,3571712
26,0005f96624a048089bdfb5f3941b6766,ETHOSCOPE_000,2019-07-03,20-57-25,0005f96624a048089bdfb5f3941b6766/ETHOSCOPE_000/2019-07-03_20-57-25/2019-07-03_20-57-25_0005f96624a048089bdfb5f3941b6766.db,10326016
27,0005f96624a048089bdfb5f3941b6766,ETHOSCOPE_000,2019-07-03,21-57-25,0005f96624a048089bdfb5f3941b6766/ETHOSCOPE_000/2019-07-03_21-57-25/2019-07-03_21-57-25_0005f96624a048089bdfb5f3941b6766.db,10326016
28,0005f96624a048089bdfb5f3941b6766,ETHOSCOPE_000,2019-07-04,17-30-37,0005f96624a048089bdfb5f3941b6766/ETHOSCOPE_000/2019-07-04_17-30-37/2019-07-04_17-30-37_0005f96624a048089bdfb5f3941b6766.db,0
29,0005f96624a048089bdfb5f3941b6766,ETHOSCOPE_000,2019-07-04,18-30-37,0005f96624a048089bdfb5f3941b6766/ETHOSCOPE_000/2019-07-04_18-30-37/2019-07-04_18-30-37_0005f96624a048089bdfb5f3941b6766.db,0
30,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-09-24,13-41-24,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-09-24_13-41-24/2015-09-24_13-41-24_001aeeee10184bb39b0754e75cef7900.db,20371456
31,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-10-30,16-15-58,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-10-30_16-15-58/2015-10-30_16-15-58_001aeeee10184bb39b0754e75cef7900.db,463872
32,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-10-30,16-45-36,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-10-30_16-45-36/2015-10-30_16-45-36_001aeeee10184bb39b0754e75cef7900.db,2064384
33,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-10-30,17-28-56,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-10-30_17-28-56/2015-10-30_17-28-56_001aeeee10184bb39b0754e75cef7900.db,264856576
34,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-02,22-12-00,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-02_22-12-00/2015-11-02_22-12-00_001aeeee10184bb39b0754e75cef7900.db,107520
35,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-02,22-15-19,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-02_22-15-19/2015-11-02_22-15-19_001aeeee10184bb39b0754e75cef7900.db,200909824
36,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-06,21-34-21,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-06_21-34-21/2015-11-06_21-34-21_001aeeee10184bb39b0754e75cef7900.db,171008
37,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-06,21-39-31,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-06_21-39-31/2015-11-06_21-39-31_001aeeee10184bb39b0754e75cef7900.db,463714304
38,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-12,11-30-12,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-12_11-30-12/2015-11-12_11-30-12_001aeeee10184bb39b0754e75cef7900.db,73728
39,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-13,15-37-38,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-13_15-37-38/2015-11-13_15-37-38_001aeeee10184bb39b0754e75cef7900.db,240107520
40,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-23,17-30-53,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-23_17-30-53/2015-11-23_17-30-53_001aeeee10184bb39b0754e75cef7900.db,32768
41,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-23,17-41-38,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-23_17-41-38/2015-11-23_17-41-38_001aeeee10184bb39b0754e75cef7900.db,274331648
42,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-23,18-15-23,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-23_18-15-23/2015-11-23_18-15-23_001aeeee10184bb39b0754e75cef7900.db,1172480
43,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-27,16-55-32,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-27_16-55-32/2015-11-27_16-55-32_001aeeee10184bb39b0754e75cef7900.db,22062080
44,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-11-28,12-30-47,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-11-28_12-30-47/2015-11-28_12-30-47_001aeeee10184bb39b0754e75cef7900.db,365569024
45,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-12-03,18-07-52,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-12-03_18-07-52/2015-12-03_18-07-52_001aeeee10184bb39b0754e75cef7900.db,519387136
46,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-12-10,16-57-26,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-12-10_16-57-26/2015-12-10_16-57-26_001aeeee10184bb39b0754e75cef7900.db,413203456
47,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-12-16,15-03-05,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-12-16_15-03-05/2015-12-16_15-03-05_001aeeee10184bb39b0754e75cef7900.db,522788864
48,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2015-12-23,09-17-57,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2015-12-23_09-17-57/2015-12-23_09-17-57_001aeeee10184bb39b0754e75cef7900.db,1226059776
49,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-01-14,20-30-25,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-01-14_20-30-25/2016-01-14_20-30-25_001aeeee10184bb39b0754e75cef7900.db,35840
50,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-01-14,20-33-30,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-01-14_20-33-30/2016-01-14_20-33-30_001aeeee10184bb39b0754e75cef7900.db,869379072
51,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-02-15,15-20-46,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-02-15_15-20-46/2016-02-15_15-20-46_001aeeee10184bb39b0754e75cef7900.db,540641280
52,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-02-22,20-24-34,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-02-22_20-24-34/2016-02-22_20-24-34_001aeeee10184bb39b0754e75cef7900.db,0
53,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-02-22,20-26-45,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-02-22_20-26-45/2016-02-22_20-26-45_001aeeee10184bb39b0754e75cef7900.db,525897728
54,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-02-29,17-45-48,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-02-29_17-45-48/2016-02-29_17-45-48_001aeeee10184bb39b0754e75cef7900.db,100352
55,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-02-29,17-50-20,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-02-29_17-50-20/2016-02-29_17-50-20_001aeeee10184bb39b0754e75cef7900.db,704534528
56,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-03-07,21-00-31,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-03-07_21-00-31/2016-03-07_21-00-31_001aeeee10184bb39b0754e75cef7900.db,452254720
57,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-03-14,17-50-39,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-03-14_17-50-39/2016-03-14_17-50-39_001aeeee10184bb39b0754e75cef7900.db,644918272
58,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-03-21,20-33-08,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-03-21_20-33-08/2016-03-21_20-33-08_001aeeee10184bb39b0754e75cef7900.db,56796160
59,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-03-28,16-19-50,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-03-28_16-19-50/2016-03-28_16-19-50_001aeeee10184bb39b0754e75cef7900.db,651318272
60,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-04-04,17-43-26,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-04-04_17-43-26/2016-04-04_17-43-26_001aeeee10184bb39b0754e75cef7900.db,517583872
61,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-04-11,14-55-03,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-04-11_14-55-03/2016-04-11_14-55-03_001aeeee10184bb39b0754e75cef7900.db,514407424
62,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-04-18,14-09-14,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-04-18_14-09-14/2016-04-18_14-09-14_001aeeee10184bb39b0754e75cef7900.db,421166080
63,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-04-25,14-02-20,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-04-25_14-02-20/2016-04-25_14-02-20_001aeeee10184bb39b0754e75cef7900.db,2021376
64,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-04-25,15-01-19,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-04-25_15-01-19/2016-04-25_15-01-19_001aeeee10184bb39b0754e75cef7900.db,548726784
65,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-05-02,15-15-18,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-05-02_15-15-18/2016-05-02_15-15-18_001aeeee10184bb39b0754e75cef7900.db,774144
66,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-05-09,18-58-28,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-05-09_18-58-28/2016-05-09_18-58-28_001aeeee10184bb39b0754e75cef7900.db,497864704
67,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-05-16,17-25-57,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-05-16_17-25-57/2016-05-16_17-25-57_001aeeee10184bb39b0754e75cef7900.db,179638272
68,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-05-18,18-38-49,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-05-18_18-38-49/2016-05-18_18-38-49_001aeeee10184bb39b0754e75cef7900.db,354267136
69,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-05-23,19-03-28,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-05-23_19-03-28/2016-05-23_19-03-28_001aeeee10184bb39b0754e75cef7900.db,588148736
70,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-05-31,15-52-24,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-05-31_15-52-24/2016-05-31_15-52-24_001aeeee10184bb39b0754e75cef7900.db,510427136
71,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-06-07,17-21-14,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-06-07_17-21-14/2016-06-07_17-21-14_001aeeee10184bb39b0754e75cef7900.db,534704128
72,001aeeee10184bb39b0754e75cef7900,ETHOSCOPE_001,2016-06-07,18-21-14,001aeeee10184bb39b0754e75cef7900/ETHOSCOPE_001/2016-06-07_18-21-14/2016-06-07_18-21-14_001aeeee10184bb39b0754e75cef7900.db,518938624
